dimension,vertices,max_bit_length,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
10,1000,200,0.2,936,20,47310494292666046821712474949855356105013041966037242,47310494292666046821712474949855356105013041966037242
10,1000,200,0.2,912,66,282282806631828361972727021806091045607580100128761440114436,282282806631828361972727021806091045607580100128761440114436
10,1000,200,0.2,892,21,46373125457572558023934924025476231620729646802486979831,46373125457572558023934924025476231620729646802486979831
10,1000,200,0.2,935,98,236149115514513950925091305182273094139922772626661128267206,236149115514513950925091305182273094139922772626661128267206
10,1000,200,0.2,937,42,8466142109993446757500634307600427022109024774300562871257,8466142109993446757500634307600427022109024774300562871257
10,1000,200,0.2,998,100,236149115514513950925091305182273094139922772626661195127614,236149115514513950925091305182273094139922772626661195127614
10,1000,200,0.2,902,55,42451719910258958908349309666889740276271275381802081272706,42451719910258958908349309666889740276271275381802081272706
10,1000,200,0.2,884,106,600731801790377047431318195901562705742999571946897796862328,600731801790377047431318195901562705742999571946897796862328
10,1000,200,0.2,895,20,46373125457572558023934924977544228298569553235848467359,46373125457572558023934924977544228298569553235848467359
10,1000,150,0.2,633,56,28375019251739757599133812866744587356890567,28375019251739757599133812866744587356890567
10,1000,150,0.2,646,27,4440518305597660343008050269507373157543241,4440518797597169676036361997718653532090362
10,1000,150,0.2,654,32,4440548716583088657151043322306007930505080,4440548716583088657151043322306007930505080
10,1000,150,0.2,639,40,4440534755789395120150748000556614970268970,4440534755789395120150748000556614970268970
10,1000,150,0.2,607,44,11565940053994760929589978016916536778833107,11565940053995333911663205247367548507144087
10,1000,150,0.2,640,45,15164463549489829282737796980291257444784557,15164463549489829282737796980291257444784557
10,1000,150,0.2,648,31,5759500024394489459185603136990430885531712,5759500024394489459185603136990430885531712
10,1000,150,0.2,603,37,11565940053995333911655179168647668102422472,11565940053995333911655179168647668102422472
10,1000,150,0.2,653,51,39154653338270905634547238631586586679223122,39154653338270905634547238631586586679223122
10,1000,150,0.2,641,32,5854470057188846781578381542460427044072723,5854470057188846781578381542460427044072723
10,1000,100,0.2,632,65,90814285255198276525902714311,90814285255198276525902714311
10,1000,100,0.2,651,43,41738772023017673762594176205,41738772023017673762594176205
10,1000,100,0.2,659,22,7647694135375734443974886874,7647694135375734443974886874
10,1000,100,0.2,613,30,37633668885382038575523517654,37633668885382038575523517654
10,1000,100,0.2,623,349,1124195375244438374269704672223,1124195375244438374269704672223
10,1000,100,0.2,616,22,1291957083744133635313655743,1291957083744133635313655743
10,1000,100,0.2,626,34,38845374927638137305606136131,38845374927638137305606136131
10,1000,100,0.2,620,40,41738772023023186695523167666,41738772023023186695523167666
10,1000,100,0.2,628,27,37633668698937673258346622216,37633668698937673258346622216
10,1000,100,0.2,602,38,41738772100370430817435027581,41738772100370430817435027581
10,1000,50,0.2,914,789,608953748482561,608953748482561
10,1000,50,0.2,891,101,268408723280433,268408723280433
10,1000,50,0.2,848,198,498740594706239,498740594706239
10,1000,50,0.2,858,150,256863079076982,256863079076982
10,1000,50,0.2,869,416,300938266014260,300938266014260
10,1000,50,0.2,864,820,741214503275787,741214503275787
10,1000,50,0.2,881,31,187193490478748,187193490478748
10,1000,50,0.2,839,24,56878608956824,56878608956824
10,1000,50,0.2,868,805,672305094543528,672305094543528
10,1000,50,0.2,878,32,93465117701617,93465117701617
10,1000,500,0.4,833,42,21606784064819058555359105147986657947139323754350799425382199804814036897841404455703356167137916145016729141073862159049713961887042358177947316,21606784064819058555359105147986657947139323754350799425382199804814036897841404455703356167137916145016729141073862159049713961887042358177947316
10,1000,500,0.4,803,57,335512529556988391063516921672830899270969570269888028723846429272261131627613039269319119920391743509152737461980457444768499658253786447625550157136,335512529556988391063516921672830899270969570269888028723846429272261131627613039269319119920391743509152737461980457444768499658253786447625550157136
10,1000,500,0.4,821,39,5713070346204426283214933999736370672045326953059403836020037384618625856575561568122637931307429224355219549617250940389981764935585075371635720,5713070346204426283214933999736375248014653431124297201767891514697289133378360249991050219271526531670667329077671349550618175007047152099479733
10,1000,500,0.4,827,25,3276659277800681827449201802041872707789524125864003716648872000144457806708757739766330061667995087136514325333889252852991863816260777764079098,3276659277800681827449201802041872707789524125864003716648872000144457806708757739766330061667995087136514325333889252852991863816260777764079098
10,1000,500,0.4,844,17,698715400201955365190429398971332448237167310796586408983179112333916549204156613688427757321849536393594880996460213333726292143770245430,698715400201955365190429398971332448237167310796586408983179112333916549204156613688427757321849536393594880996460213333726292143770245430
10,1000,500,0.4,854,37,5713070346204426283214933999736370672045326953059403836020037260187412997251203676817195766326805684158035425410687294014362865211974527264106634,5713070346204426283214933999736370672045326953059403836020037260187412997251203676817195766326805684158035425410687294014362865211974527264106634
10,1000,500,0.4,816,48,42399424726053472445096088018052450359406729726626369461089333809077446406278404844990761096187316821765908779856420801724839594893083971452356934,42399424726053472445096088018052450359406729726626369461089333809077446406278404844990761096187316821765908779856420801724839594893083971452356934
10,1000,500,0.4,821,33,5713070346204426283214933929983292569925242216707289512268962274390513681190200586732423874036193630437772563818408740099532626015986687207501449,5713070346204426283214933929983292569925242216707289512268962274390513681190200586732423874036193630437772563818408740099532626015986687207501449
10,1000,500,0.4,779,16,70310588276595434981566399071383114271023152969240252513864806370617007076695510595903207058962991201180593794105807452511958772328178987796,70310588276595434981566399071383114271023152969240252513864806370617007076695510595903207058962991201180593794105807452511958772328178987796
10,1000,500,0.4,814,68,2065542120018171041683305204570859758932702783533921685347268544525986290883234452495285018075839929092428510727217877342076561329709804424035383857381,2065542120018171041683305204570859758932702783533921685347268544525986290883234452495285018075839929092428510727217877342076561329709804424035383857381
