dimension,vertices,ave_degree,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
8, 1000, 4, 19.6, 725, 22, 2352608249478873533207461745964628987371341989662176189481245424996956713392013642210561021899623211546914920351628604843358699321010792870904118420441895793995075985022503779714014517002844349306266351123341459108780298277841745031541581734598034248088903473084925413266844915817170, 2352608249478873533207461745964628987371341989662176189481245424996956713392013642210561021899623211546914920351628604843358699321010792870904118420441895793995075985022503779714014517002844349306266351123341459108780298277841745031541581734598034248088903473084925413266844915817170
8, 1000, 4, 19.6, 692, 19, 98711529333635886613008523965826355569693331042745396071480894003989610777839541434030718880983179109784945185089401457831965048856683704681982791149915233656710747102474949770193894849309361658047215419032435332641815423450448172913109117160306900487450182423864337369025359616, 98711529333635886613008523965826355569693331042745396071480894003989610777839541434030718880983179109784945185089401457831965048856683704681982791149915233656710747102474949770193894849309361658047215419032435332641815423450448172913109117160306900487450182423864337369025359616
8, 1000, 4, 19.6, 519, 38, 28427127034172419337584539470161795093325537161134228097230306168655786341008078597880714086778771542457461903435381410226355002063680774427304132295844729755354434866199103355160557704011284968397706861054125210864408455284844498032382460079823785167538901379462576161931583522617156099877250469359, 28427127034172419337584539470161795093325537161134228097230306168655786341008078597880714086778771542457461903435381410226355002063680774427304132295844729755354434866199103355160557704011284968397706861054125210864408455284844498032382460079823785167538901379462576161931583522617156099877250469359
8, 1000, 4, 19.6, 794, 15, 174199973683778275661619072352074078486419612822557665592295374818431725275034980244038161861557096103757502154882707786671744866001699399419295000867565193681844330161377692576832401639083077590761009092797525316274673794963522269219884746077261353182420396155303232475459415466, 174199973683778275661619072352074078486419612822557665592295374818431725275034980244038161861557096103757502154882707786671744866001699399419295000867565193681844330161377692576832401639083077590761009092797525316274673794963522269219884746077261353182420396155303232475459415466
8, 1000, 4, 19.6, 713, 20, 2424115071905450016937731711246382844438975660738541921369657815195271721095267620090879975924098247118363675197144443942128075993328507455904091345912450830483651018071295758353656098817836885279400556010273676705142728096312894648833905339012140289082289708313177387092017081, 2424115071905450016937731711246382844438975660738541921369657815195271721095267620090879975924098247118363675197144443942128075993328507455904091345912450830483651018071295758353656098817836885279400556010273676705142728096312894648833905339012140289082289708313177387092017081
8, 1000, 4, 19.6, 1147, 21, 4559239004248477110424239631031407480003193488485618465625204535546905383093624429699532899258516884484918238235619369668448631822920146611072389390121925612966616877082459727823822783549021894516607992011745761209683111467663170944223172268648272387089666746198814032634281982707858598, 4559239004248477110424239631031407480003193488485618465625204535546905383093624429699532899258516884484918238235619369668448631822920146611072389390121925612966616877082459727823822783549021894516607992011745761209683111467663170944223172268648272387089666746198814032634281982707858598
8, 1000, 4, 19.6, 576, 42, 72009394518501376519547637995041532125859343938873029904837259425182389685170340288003883244991543981243225558317048806965700311370264425885137097561397950662893768384644995103968945330491617264353860576107963770441063195082942458511641780992272626769724845532229632601587636936812096001124612169, 72009394518501376519547637995041532125859343938873029904837259425182389685170340288003883244991543981243225558317048806965700311370264425885137097561397950662893768384644995103968945330491617264353860576107963770441063195082942458511641780992272626769724845532229632601587636936812096001124612169
8, 1000, 4, 19.6, 354, 35, 37453503299922378687918060525896130817917134845293234528358236712346562995946401701055826790869400732014075608447822490214680200095442925679651931359516912395635557551112535050149345935640190184893055289887493792969953907119035172802964335414034663674369629118505464120616999055169869065058526, 37453503299922378687918060525896130817917134845293234528358236712346562995946401701055826790869400732014075608447822490214680200095442925679651931359516912395637637086516289082370402248709681530566533476404060062998526538671454990484216790641376705364777165915978688796969770387458307579847753
8, 1000, 4, 19.6, 690, 43, 45626191756412788048186626016035701696958110600158847878350754056778883768046361992040636314735316598048966346260570310873987820392729144800730559603244021782436545110935869326721509170464906806238874904313760274971303908387212160788883009222958693898209686200575475961326886737557479605305969300086, 45626191756412788048186626016035701696958110600158847878350754056778883768046361992040636314735316598048966346260570310873987820392729144800730559603244021782436545110935869326721509170464906806238874904313760274971303908387212160788883009222958693898209686200575475961326886737557479605305969300086
8, 1000, 4, 19.6, 418, 25, 26994457880802592994505369453036740423633129707096850605135292209097558406522574265217097296383838252064610584136115883653211323448481187821015009354910899410818911116842549396970945870673372418241618034755297074582054395292535573045286318301841864896031904510880673936564537857099596, 26994457880802592994505369453036740423633129707096850605135292209097558406522574265217097296383838252064610584136115883653211323448481187821015009354910899410818911116842549396970945870673372418241618034755297074582054395292535573045286318301841864896031904510880673936564537857099596
8, 1000, 4, 19.6, 616, 46, 1857929820440842182058003340631839277780182669362324939065342957622542908754903675669017432018276287450147317078991988350961978386667940322331753029180074828474101015559904864100096658882816856780943113290446878468902127020600941746390995284220143944795699978336174188502155909067043621947, 1857929820440842182058003340631839277780182669362324939065342957622542908754903675669017432018276287450147317078991988350961978386667940322331753029180074828474101015559904864100096658882816856780943113290446878468902127020600941746390995284220143944795699978336174188502155909067043621947
8, 1000, 4, 19.6, 592, 22, 33241842874487165343880846634961107507901889647114064972472142630261142243590957066725657843140559361638218798296962080096166165839504676777653136572791718544247547593172592600428725931787566226253734473206399209799097754525928425019338690518417183376963185522129118446875393894918829123, 33241842874487165343880846634961107507901889647114064972472142630261142243590957066725657843140559361638218798296962080096166165839504676777653136572791718544247547593172592600428725931787566226253734473206399209799097754525928425019338690518417183376963185522129118446875393894918829123
8, 1000, 4, 19.6, 498, 14, 324538206940112488986999583856552851288447137696110588925086024460941848444232550865618818924761238469910616214941651003648242832049765132019776468732077993443680847521818489413018981629502640756367446448814406895301899618320408814831469627560000515327174, 324538206940112488986999583856552851288447137696110588925086024460941848444232550865618818924761238469910616214941651003648242832049765132019776468732077993443680847521818489413018981629502640756367446448814406895301899618320408814831469627560000515327174
